run,stage,run_group,model,sweep_label,seed,mean_foscttm,time_mae,time_spearman,jvp_rhs_cos,jvp_norm,rhs_norm,kappa_mean,beta_mean,lr,sinkhorn_reg,lambda_dyn,phi_init_gain,kot_rna_layer,kot_protein_layer,velocity_layer
run_20260701_183237,clean,linked_ode,kot,,6.0,0.029489,0.17904500900180034,0.9999945245426586,0.6022195816040039,0.13862043619155884,0.12102803587913513,0.47568947076797485,0.6780098676681519,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot,,9.0,0.0336,0.1954810962192438,0.9999943384946711,0.631427526473999,0.14473333954811096,0.11959657073020935,0.4476446509361267,0.6779828071594238,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot,,11.0,0.034124,0.19680936187237444,0.9999947952867132,0.6361225843429565,0.14745531976222992,0.1205616295337677,0.4530985355377197,0.6845868825912476,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot,,17.0,0.032816,0.19236687337467492,0.9999944180305247,0.6343249678611755,0.1449318528175354,0.11828844249248505,0.45117664337158203,0.6834716796875,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot,,21.0,0.031146,0.18476295259051811,0.9999943706545077,0.6109654903411865,0.14188067615032196,0.11747633665800095,0.4676784574985504,0.6841399073600769,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot,,33.0,0.032645,0.18999839967993595,0.9999947420066378,0.6066946387290955,0.14310158789157867,0.11618933081626892,0.46512743830680847,0.6777342557907104,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot,,42.0,0.033361,0.19716023204640928,0.9999944418864941,0.6256297826766968,0.14332589507102966,0.11711755394935608,0.4475138187408447,0.6787154078483582,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot,,77.0,0.033023,0.1931522304460892,0.999994694102569,0.6411336064338684,0.14433573186397552,0.119377002120018,0.45660966634750366,0.6854243874549866,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot,,88.0,0.032753,0.18955871174234842,0.9999942913345725,0.6122603416442871,0.14413245022296906,0.11845217645168304,0.46347615122795105,0.6843584775924683,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot,,101.0,0.032238,0.18697299459891975,0.9999946684227136,0.6186575293540955,0.1461144983768463,0.12019336223602295,0.46415525674819946,0.6715120673179626,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
run_20260701_183237,clean,linked_ode,kot,,123.0,0.031513,0.18689097819563913,0.9999941014942241,0.5911692380905151,0.13823336362838745,0.11632522195577621,0.46047472953796387,0.6748474836349487,0.001,0.1,1.0,0.5,spliced_mean,protein_mean,true_velocity_mean
